seed,candidate,cooccur
"面膜","毒",1
"手机壳","oppor9",2
"手机壳","图片",2
"羽绒服","什么",1
"羽绒服","牌子",1
"羽绒服","的",2
"羽绒服","好看",1
"羽绒服","质量",1
"羽绒服","又",1
"羽绒服","好",1
"面膜","钰肤",1
"面膜","嘉",1
"蓝牙耳机","在",1
"蓝牙耳机","没",1
"蓝牙耳机","接通",1
"蓝牙耳机","电话",1
"蓝牙耳机","是",1
"蓝牙耳机","有",1
"蓝牙耳机","磁场",1
"蓝牙耳机","吗",1
"面膜","蛋白",1
"面膜","保湿",1
"净水器","格尼星",1
"净水器","净水",2
"净水器","水器",2
"净水器","净水器",2
"净水器","怎么",2
"净水器","怎么样",1
"面膜","含",1
"面膜","品牌",1
"笔记本电脑","前置",1
"笔记本电脑","摄像",1
"笔记本电脑","像头",1
"笔记本电脑","摄像头",1
"笔记本电脑","像素",1
"面膜","婴儿",1
"面膜","真假",1
"面膜","分辨",1
"面膜","图",1
"净水器","超滤",1
"净水器","有",1
"净水器","异味",1
"净水器","怎么办",1
"羽绒服","龙狮",1
"羽绒服","戴尔",1
"羽绒服","图片",1
"面膜","刺痛",3
"面膜","痛感",2
"面膜","刺痛感",2
"机械键盘","简约",1
"机械键盘","的",1
"机械键盘","机械",2
"机械键盘","键盘",2
"口红","chanel",1
"口红","mac",2
"口红","see",1
"口红","sheer",1
"口红","试色",1
"笔记本电脑","进水",1
"笔记本电脑","失灵",2
"面膜","得鲜",1
"面膜","孕妇",2
"面膜","不能",1
"面膜","樱草",1
"羽绒服","红豆",1
"羽绒服","怎么",1
"羽绒服","怎么样",1
"面膜","古瓷",1
"面膜","自然",1
"面膜","乐园",1
"面膜","夏威夷",1
"口红","迪奥",2
"口红","真假",1
"口红","辨别",1
"机械键盘","达尔",1
"机械键盘","优",1
"笔记本电脑","小新",1
"笔记本电脑","700",1
"笔记本电脑","电",1
"笔记本电脑","竞版",1
"笔记本电脑","15.6",1
"笔记本电脑","寸",1
"笔记本电脑","游戏",3
"面膜","百雀羚",1
"面膜","后面",1
"面膜","c",1
"面膜","5",1
"面膜","是",1
"面膜","意思",1
"口红","3ce",1
"口红","多少",1
"口红","钱",1
"口红","一支",1
"面膜","亚",1
"面膜","缇",1
"面膜","克兰",1
"面膜","skin79",1
"面膜","官网",1
"洗发水","日本",1
"洗发水","熊",1
"洗发水","野马",1
"洗发水","油",1
"面膜","黑乎乎",1
"面膜","海藻",2
"面膜","千万",1
"面膜","千万别",1
"面膜","买",1
"笔记本电脑","排名",2
"口红","白道",1
"口红","起白道",1
"笔记本电脑","路由",1
"笔记本电脑","路由器",1
"面膜","方法",1
"洗发水","生姜",1
"手机壳","一加",1
"手机壳","三",1
"手机壳","怎么",1
"手机壳","怎么样",1
"口红","系列",1
"运动鞋","十大",1
"运动鞋","鞋子",1
"运动鞋","品牌",2
"面膜","贴",2
"面膜","在",1
"面膜","有点",1
"手机壳","玫瑰",1
"手机壳","金",1
"手机壳","的",3
"手机壳","要",1
"手机壳","哪",1
"手机壳","颜色",1
"手机壳","种颜色",1
"手机壳","自己",1
"手机壳","diy",1
"面膜","敏感",1
"面膜","肌",2
"面膜","好用",1
"面膜","吃",1
"面膜","了",2
"面膜","怎么办",1
"运动鞋","高中",1
"运动鞋","女生",1
"运动鞋","高中女生",1
"运动鞋","图片",1
"口红","espoir",1
"面膜","哪个",1
"面膜","好",3
"面膜","防",1
"面膜","过敏",1
"口红","没抹",1
"口红","完",1
"口红","电视",1
"口红","电视剧",1
"羽绒服","与",1
"羽绒服","冲锋",1
"羽绒服","冲锋衣",1
"面膜","优资莱",1
"运动鞋","所有",1
"运动鞋","标志",1
"面膜","祛痘",2
"面膜","哪种",1
"口红","唇色",1
"口红","深用",1
"蓝牙耳机","捷波朗",1
"蓝牙耳机","官网",1
"蓝牙耳机","小米",1
"蓝牙耳机","4s",1
"蓝牙耳机","怎么",2
"蓝牙耳机","设置",1
"蓝牙耳机","和",1
"蓝牙耳机","wifi",1
"蓝牙耳机","冲突",1
"洗发水","国际",1
"洗发水","欧",1
"洗发水","芭",1
"笔记本电脑","华硕",1
"笔记本电脑","如何",1
"笔记本电脑","操作",1
"笔记本电脑","数字",1
"笔记本电脑","和",1
"笔记本电脑","字母",1
"笔记本电脑","的",3
"笔记本电脑","切换",1
"笔记本电脑","功能",1
"笔记本电脑","开启",1
"手机壳","制作",1
"手机壳","奶油",1
"手机壳","材料",1
"面膜","赫恩",1
"面膜","男士",1
"面膜","小黄瓜",1
"面膜","三分",1
"面膜","分钟",2
"面膜","三分钟",1
"面膜","超过",1
"面膜","3",1
"运动鞋","正版",1
"运动鞋","耐克",1
"口红","保质",1
"口红","保质期",1
"运动鞋","27",1
"运动鞋","度",1
"运动鞋","穿",1
"运动鞋","行",1
"运动鞋","吗",1
"面膜","樊文花",1
"笔记本电脑","连接",1
"笔记本电脑","投影",1
"笔记本电脑","投影仪",1
"笔记本电脑","桌面",1
"蓝牙耳机","信号",1
"蓝牙耳机","干扰",1
"笔记本电脑","usb",1
"面膜","加",1
"面膜","祛斑",1
"面膜","痘痘",1
"面膜","适合",1
"笔记本电脑","玩游",1
"笔记本电脑","玩游戏",1
"笔记本电脑","啥",1
"面膜","医院",1
"面膜","开",1
"面膜","某某",1
"面膜","康",1
"手机壳","vivox6plus",1
"手机壳","硅胶",1
"洗发水","蔻",1
"洗发水","露薇",1
"洗发水","是",1
"面膜","伊思红参",1
"面膜","泥面膜",1
"笔记本电脑","回车",1
"笔记本电脑","回车键",1
"笔记本电脑","喇叭",1
"笔记本电脑","小喇叭",1
"笔记本电脑","不见",1
"笔记本电脑","lenovo430",1
"笔记本电脑","wife",1
"笔记本电脑","开关",1
"笔记本电脑","什么样",1
"笔记本电脑","直播",1
"面膜","五谷",1
"面膜","杂粮",1
"面膜","五谷杂粮",1
"平板电脑","蓝影",1
"口红","ysl",1
"口红","14",1
"面膜","黑豆",1
"面膜","泥浆",1
"面膜","完后",1
"面膜","护理",1
"面膜","蛋清",1
"运动鞋","中国",1
"运动鞋","明星",1
"运动鞋","同款",1
"笔记本电脑","小键盘",1
"蓝牙耳机","连接",1
"蓝牙耳机","手机",1
"面膜","自做",1
"口红","偏黑",1
"口红","黄",1
"面膜","效果",1
"平板电脑","开机",1
"平板电脑","只",1
"平板电脑","显示",1
"平板电脑","厂家",1
"平板电脑","图标",1
"平板电脑",",",1
"平板电脑","其它",1
"平板电脑","没有",1
"平板电脑","反应",1
